PG,SG,SF,PF,C,G,F,UTIL,Unnamed: 8,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,Saber Score
42180459,42180547,42180485,42180465,42180511,42180472,42180507,42180599,,242.8,228.36749267578125,243.74249267578125,258.92999267578125,267.36749267578125,282.36749267578125,295.12249267578125,220.0,50000,1,0,103.42190746287312,98.27987618053332,100.82955021911064,95.73020214195594,172.0412396909152,100.61501490224168,98.06534086366436,98.06534086366436,85.87309335407824,20.00897973775864
42180520,42180551,42180531,42180485,42180493,42180476,42180544,42180456,,245.6,229.20925903320312,246.02175903320312,263.8342590332031,275.2717590332031,291.0717590332031,312.0467590332031,234.0,49900,1,0,104.59517184781936,99.02200646716447,101.79261653331108,96.25139640101786,172.48896255237713,101.81780757969484,99.04719751354824,99.04719751354824,86.52281461181784,111.27842664718628
42180540,42180468,42180563,42180462,42180454,42180547,42180528,42180599,,235.6,220.1937561035156,235.5062561035156,251.2562561035156,259.2562561035156,274.2687561035156,288.01872589111326,206.0,49700,1,0,100.41764134619288,95.58212559085366,97.98705727032797,93.17719391137936,170.0431946235772,97.8215048063282,95.4165731268539,95.4165731268539,83.65500919956388,14.884105324745178
42180459,42180517,42180544,42180485,42180577,42180476,42180465,42180498,,246.1,229.1527404785156,247.4027404785156,263.9027404785156,272.19024047851565,290.4152404785156,305.6552404785156,239.0,49700,1,0,104.65414623138118,99.10975294125969,101.90993917032615,96.30956671219316,172.5886664616446,101.75606012861908,98.9558738995526,98.9558738995526,86.3820578055139,116.83781147003174
42180520,42180482,42180528,42180555,42180454,42180551,42180507,42180493,,245.1,227.52525329589844,245.08775329589844,262.0877685546875,271.1252685546875,287.8502685546875,304.8402685546875,243.0,50000,1,0,104.2144981605105,98.61283337525197,101.41750429444711,95.80816245605678,172.2619846111728,101.32429989184682,98.51962897265166,98.51962897265166,85.98104224726109,63.05549740791321
42180540,42180547,42180485,42180531,42180588,42180456,42180507,42180459,,246.3,231.25,246.75,264.5,273.75,289.7625,305.2525,220.0,49700,1,0,105.04655435967516,99.9390881886787,102.48198264821336,97.39619372914404,173.16679249475118,102.3373960092898,99.79450154975513,99.79450154975513,87.4700344134929,60.28016209602356
42180468,42180520,42180555,42180531,42180577,42180459,42180462,42180493,,242.9,225.4575042724609,243.5825042724609,259.70751953125,269.45751953125,284.24501953125,303.72251953125,213.0,49500,1,0,103.54102487545234,98.39712775890618,100.94201886949456,95.8522366483178,172.08257679391457,100.934970399336,98.3900792887476,98.3900792887476,86.19864330127282,70.28869986534119
42180456,42180498,42180544,42180507,42180577,42180517,42180465,42180528,,245.8,229.26724243164065,246.76724243164065,262.2672424316406,272.55474243164065,286.7672424316406,307.5222424316406,245.0,49700,1,0,104.469251688743,98.6315376428192,101.5104900857815,95.75258519985692,172.3358202927887,101.5381471829644,98.6591947400021,98.6591947400021,86.01852664970066,99.15708303451538
42180551,42180482,42180485,42180507,42180493,42180583,42180555,42180454,,243.6,227.11900329589844,243.36900329589844,261.6815185546875,270.6190185546875,284.41901855468745,298.6265185546875,247.0,49700,1,0,103.57379677108248,97.8208952854876,100.65248202099278,94.9893085499824,171.7315842732311,100.47918701157133,97.64760027606614,97.64760027606614,85.14166882253078,24.802446365356445
42180547,42180468,42180531,42180485,42180526,42180472,42180498,42180465,,240.6,224.85824584960935,240.85824584960935,256.6082458496094,268.6082458496094,284.6332458496093,301.62074584960936,217.0,50000,1,0,102.57860864531116,97.44075674158734,100.0043190321476,94.87719445102708,171.3144957524776,99.91805386907072,97.35449157851046,97.35449157851046,85.23572674625044,-0.085710798157379
42180459,42180517,42180528,42180507,42180577,42180551,42180544,42180454,,251.2,235.63626098632807,252.13626098632807,267.8862609863281,275.3862609863281,287.3987609863281,304.6487609863281,259.0,49800,1,0,106.6230591204168,100.5218136168773,103.4926117759523,97.5510154578023,173.86777619972133,103.40857552529592,100.43777736622091,100.43777736622091,87.49080764241202,143.7312126159668
